Organisation,KVK number
Experis Staff B.V.,034106574
Experlogix B.V.,051930633
Expertisebureau HDG B.V.,024142863
Expivi Holding B.V.,068892462
Expleo Netherlands B.V.,011043303
Explicit Selection B.V.,068205074
Exploitatie Pillows MK61 B.V.,072869712
Exter B.V.,034223562
Exterus Payrolling B.V.,065158598
Extreme Networks B.V.,030106897
Extron Europe,031040577
ExxFire,053952464
ExxonMobil Chemical Holland,024231768
EY Accountants B.V.,092704093
EY Adviseurs B.V.,092700950
EY Advisory Netherlands LLP,073624926
EY Belastingadviseurs B.V.,092702090
EY Nederland B.V.,092702597
EYC B.V.,055101321
EyeOn B.V.,017116144
EyeOn Zorg B.V.,017196213
eyrise B.V.,017236601
EZ Factory B.V.,069297878
EZ Phone B.V.,039084284
EZVIZ Europe B.V.,078758564
F&S B.V.,089471067
F&V Photographic Industry B.V.,052744701
F.G. Progress B.V.,070135177
F.G. Stijl B.V.,033270221
F5 Networks Benelux B.V.,032117649
FAAM Architects B.V.,070573980
Faber Betonpompen B.V.,028070716
Fabory Nederland,018020925
FABRICations B.V.,086825283
Fabrique Communicatie en Design,027183335
Facade Hotel Amsterdam B.V.,066659558
Facebook Netherlands B.V.,051401282
Facial Harmony B.V.,067068731
Facta Elektrotechniek B.V.,033250294
Factor 75 B.V.,088275043
FactorIT B.V.,062026097
Factors Chain International,040537377
FactoryLab B.V.,066582385
Factris,068666446
FactSet Benelux B.V.,020132144
Faculty of Skills,053801016
Fagron B.V.,030064580
Fagron Holding EMEA B.V.,056737335
Fair Consulting Netherlands B.V.,088764354
Fairbanks B.V.,032102827
FairChainTech B.V.,076217396
Faire Wholesale B.V.,082541086
Fairfield Chemical Carriers B.V.,062013971
FairPhone B.V.,055901964
Fairtrade Original B.V.,072720476
Fairtree Capital Europe,071802312
Fairways Logistics B.V.,061478466
Fall Creek Farm and Nursery The Netherlands B.V.,012052149
Famed B.V.,031043929
Fancom B.V.,012015669
Fangage B.V.,066554721
Fansen Exploitatie B.V.,063635097
Fantazm B.V.,065021010
FareHarbor B.V.,071480404
Farm Dairy,024327163
Farm Frites International B.V.,024180852
Farm21 B.V.,073028711
Farmless B.V.,087138514
Fashion Cloud,057056447
Fashion for Good B.V.,066960746
Fashion Group Solutions B.V.,069689547
Fast & Fluid Management B.V.,028071961
FAST (Financial Administration Service and Technology),028086092
Fast Four B.V.,056037104
Fast Imaging B.V.,071867473
Fasten B.V.,037085814
Fastenal Europe B.V.,020112509
FasterIntel B.V.,062258605
FastFocus B.V.,059285575
FastMicro B.V.,076203247
Fastned B.V.,054606179
FastSpring B.V.,070091099
FBD International B.V.,034341882
FC C.V.,075623277
FCA Netherlands B.V.,033164133
FCC Construccion S.A.,076504972
FCPM III Services B.V.,056419899
Federación Nacional de Cafeteros de Colombia B.V.,027243258
Federatie COC Nederland,040530156
Federation Internationale Pharmaceutique/ International Pharmaceutical Federation (FIP),040410354
Federation of European Microbiological Societies,059230738
FedEx Express International B.V.,065939859
FedEx Express Netherlands B.V.,069176523
FedEx Supply Chain Services,020078945
FeedbackFruits B.V.,063664682
Feel Free Games B.V.,084011734
FEI Electron Optics B.V.,017078574
FEI Europe B.V.,017097158
Felixx Landscape Architects & Planners B.V.,075199106
Felyx Sharing B.V.,068094434
Fenergo Sentinels B.V.,082155305
Fenestrae B.V.,027155784
Fenix Consulting Delft B.V.,027240004
Fenix Outdoor Logistics B.V.,064755177
Fenzi AGT Netherlands B.V.,064454827
FEPshop B.V.,073370975
Ferm International B.V.,073372099
Feromont Inzenjering B.V.,087985098
Ferrovial Airports International SE,073422525
Ferrovial SE,073422134
Fertilife Benelux B.V.,076536912
Fesla Charge B.V.,076210073
FEV Netherlands B.V.,069337659
Feyecon Development & Implementation B.V.,033242864
Feyenoord Rotterdam N.V.,024363218
FF Quant Advisory B.V.,070817979
FFM Online B.V.,061296805
Ffund B.V.,066948665
FG ROBOSYS B.V.,063511037
FGE International B.V.,061334790
FI Analytics B.V.,009221887
Fiat Republic Netherlands B.V.,084625791
Fiba Capital Investments B.V.,034239251
Fiber Services B.V.,073781460
Fiberfam B.V.,085859478
Fiber-Line International B.V.,001105731
Fiberplane B.V.,078748038
Fibrant B.V.,014028937
Fiction Valley B.V.,034250730
Fidamy B.V.,091227003
Fidelity National Information Services (Netherlands) B.V.,033282642
Field Factors B.V.,066731313
FieldCore Service Solutions International Netherlands,053132866
FIFPro Commercial Enterprises B.V.,024370027
FIFPro Holding B.V.,024369707
Filasflex Uitzendbureau B.V.,059701137
filerskeepers B.V.,070576343
Film Impact B.V.,066360722
Fimble B.V.,088878244
Finalist IT Group B.V.,024243482
Finalyse Netherlands B.V.,030253968
Financial Access Capital Management B.V.,034357920
Financial Access Consulting Services B.V.,034260940
Financiële Diensten Amsterdam B.V.,033187036
FinanSentra B.V.,067289010
"Finch Capital Partners, B.V.",067035752
Finchtree B.V.,024174331
FincoEnergies B.V.,062265199
Fincog B.V.,074850520
Finday B.V.,062205498
Findest B.V.,068240023
FindHotel B.V.,066043077
FinDock B.V.,060932317
FinMechanics Netherlands B.V.,074815393
FINOM Payments B.V.,078680751
Finqle B.V.,062738097
Finst B.V.,085668117
FinStack Holding B.V.,083869794
Finthropology B.V.,090483766
Finwerd B.V.,081450834
Firat Bakkerij B.V.,008143683
FireID Middle Earth B.V.,075679019
Firemane B.V.,087900157
Firestone Industrial Products Europe B.V.,009178597
Firm24 B.V.,058579532
First Employment B.V.,058086846
First Light Digital B.V.,076137228
First Line Software B.V.,058362126
FIRST PRIVACY B.V.,076063267
FiSer Consulting B.V.,062741837
Fisher BioServices Netherlands B.V.,082365733
Fisher Emergo B.V.,033166189
Fishfacts B.V.,070740631
Fit For Free Beheer B.V.,027288391
Fit For Me B.V.,024375270
FIT Group B.V.,020119722
FIT People B.V.,057634262
Fited B.V.,068822618
Fit-Fight Dojo,066914132
Five Degrees Solutions B.V.,030265026
Five Rings Capital B.V.,090117905
FixedToday 52 B.V.,056898746
FixedToday B.V.,011047341
Fixico B.V.,058322752
Fizyr,060552735
FL B.V.,017144406
Flagship Advisory Partners B.V.,078449499
Flagship Amsterdam B.V.,074390767
Flame Spray Technologies B.V.,009166683
Flamingo´s Plaza B.V.,001166716
Flash Shipping B.V.,087089084
flatex DEGIRO Bank Dutch Branch,082510245
Flavourtech B.V.,086423134
FleetCor Technologieën B.V.,009094215
FleetGO Telematics ltd.,008182124
Fleetin B.V.,089574710
FleuraMetz B.V.,034073465
Flevo Berry Breeding B.V.,063735210
Flexbrain Detachering Publieke Sector B.V.,059640332
Flexellon B.V.,008226745
Flexhub B.V.,018072838
Flexible Human Services,053272447
Flexible Optical B.V.,027193416
Flexible Packaging Combination B.V.,033260875
FlexiiDrive B.V.,069954283
Flexn B.V.,084296828
Flexous B.V.,056220987
Flexous Mechanisms B.V.,067343295
Flexport Customs B.V.,080033970
Flexport Group B.V.,064391043
Flexport International B.V.,080033946
FlexService Solutions B.V.,028090507
Flextronics Logistics B.V.,012038111
Flexxy B.V.,073969559
Flight Centre Travel Group (Netherlands) B.V.,034320444
Flinndal B.V.,034195553
Flitsmeister B.V.,055408567
FlixBus B.V.,064024989
Flo Health NL B.V.,081264682
FloodTags B.V.,090635450
Flora Food Global Principal B.V.,063649292
Flora Food Netherlands B.V.,063645882
Flora Food R&D B.V.,063650118
Florencius B.V.,030220826
Florentin B.V.,058171673
Floricultura B.V.,034061322
Floryn B.V.,065970276
Flow Traders B.V.,033223268
FlowBeams B.V.,084094923
Flowerbed Engineering B.V.,034351594
Flowid Products B.V.,056555881
Flowserve B.V.,020052878
Floyd Davis Finance B.V.,024306935
Fluence Energy B.V.,085674451
Fluiconnecto Holdings,024428177
Fluidigm Europe B.V.,027264567
Fluido Oy,080799140
Fluke Europe B.V.,017077812
Fluor B.V.,034023348
Fluor Consultants B.V.,020070184
Flutterwave Netherlands B.V.,088023192
Flux Groep B.V.,051516616
Flux Landscape Architecture B.V.,075223295
Flying Fish Water Mobility B.V.,076707563
Flynth Audit B.V.,009063021
FLYR Netherlands B.V.,083708316
Flytxt B.V.,034082857
FM Group Human Resources B.V.,080057640
FM Insurance Company Ltd.The Netherlands Branch,034313287
FM Insurance Europe S.A.,068307438
FM Plastics B.V.,001064735
FMC Separation Systems B.V.,009090976
FMI HTS Eindhoven B.V.,077363604
FM's Dienstverlening B.V.,070753229
fnCyber Security Consulting Services B.V.,090184106
FNsteel B.V.,023093135
Focus B.V.,075107058
Focus Engineering B.V.,056972954
Focus Enterprise Solutions B.V.,085577448
Focus IT People B.V.,067663931
Focus Orange Technology B.V.,061307068
FocusCura B.V.,030206773
FOCUS-ON V.O.F.,074863223
Foekens Papier,034097050
FOH Europe B.V.,087508605
Fokker Elmo B.V.,084469331
Fokker Services B.V.,020083483
Foldam Staalbouw B.V.,024342031
Folding Boxboard Eerbeek B.V.,008038270
Follow this,062049933
Fonq.nl B.V.,030193631
Fontem Ventures B.V.,056714955
Fonterra (Europe) Coöperatie U.A.,050122541
Fonterra Europe Manufacturing B.V.,057438048
Fontys Hogescholen,041097718
Foodcase International B.V.,055047599
Foodmate B.V.,024402765
FoodQloud B.V.,076517993
FoodVentures B.V.,051414392
Foot Locker Europe B.V.,023067735
Forbest Image B.V.,060254378
Forbo Flooring B.V.,035000233
Forbon Technology Netherlands B.V.,063585685
Forcare Holding B.V.,030213084
Force Field Productions B.V.,034247648
ForceWeb B.V.,064335763
Forcyd Managed Review B.V.,075018551
Ford Nederland B.V.,033042480
Forehand Electronic Extensions B.V.,024182857
Forescout Technologies B.V.,008214012
Foreside B.V.,077761316
ForestEffect Management B.V.,066867142
Forever Direct E.U. B.V.,024434826
Forexx Group B.V.,066077478
Fork and Grate Payroll Services B.V.,066853826
Form International B.V.,005050630
Forma Property Advisory Services B.V.,066050111
"Formax, Inc.",034069454
Formitable B.V.,067619665
Formorrow B.V.,031047845
Fornova B.V.,065286073
forpeople B.V.,072627794
Forrester Research B.V.,033298093
Forseti,027247356
Fortaegis Technologies B.V.,091340500
Fortanix B.V.,075812517
Fortinet B.V.,032156993
Fortissimo Holding B.V.,022040924
Fortna Europe B.V.,069615101
Fortna Service B.V.,030184960
Fortrea Netherlands B.V.,088689824
Fortrum B.V.,069541000
Fortum Holding B.V.,024248582
Forus Operations B.V.,082536775
Forvis Mazars N.V.,024389296
Forward AM Technologies Netherlands B.V.,062066420
foryouandyourcustomers Amsterdam B.V.,056891008
Forza IT Group B.V.,032126735
Forza Refurbished B.V.,063330164
Foseco Nederland B.V.,009087414
Fossil Europe B.V.,033247795
Founda Health B.V.,076708829
FoundersBuddy B.V.,071796371
FOUNT B.V.,061547166
Fountainhead International B.V.,066741246
Four Seasons Hotels and Resorts B.V.,059214198
Four Seasons Quality B.V.,034206129
Four Winds K9 B.V.,068501927
Fource Holding B.V.,024378552
FourCo IT Services Benelux B.V.,072589795
Fourict B.V.,027333447
FourKites B.V.,075960729
Fourthline,058905413
FOX Global Logistics B.V.,034274781
Foxess Netherlands B.V.,078484626
Fox-IT,027301624
FPE Advisory B.V.,058355103
FPS Investments B.V.,085711101
FPT Software Netherlands B.V.,086070401
FPX Solutions B.V.,075460335
FRABA B.V.,014106278
Fractal Analytics Netherland B.V.,069252696
Framer B.V.,059920637
Frames Energy Systems B.V.,028062277
Framo Nederland B.V.,024221503
Frank Energie B.V.,077767799
Frank Recruitment Group Netherlands B.V.,072316772
Frankort & Koning B.V.,012022596
Frank's International Coöperatief U.A.,058244115
Franx B.V.,067283101
Fratello Watches B.V.,072188162
Fraud Dynamics B.V.,058426833
Fraudio B.V.,075495538
Fredhopper B.V.,034119121
Free Engineering B.V.,020090202
FREE NOW Netherlands B.V.,088464334
Freeday B.V.,080204589
Freetime Company B.V.,008154831
Freezitt,012059706
Freightlive B.V.,053328175
Frencken Mechatronics B.V.,017085349
Fresenius Medical Care Nederland B.V.,016054002
Fresh Dynamics B.V.,030247256
Fresh Forward Breeding,009153813
Fresh Tandartsen Holding B.V.,061786373
Fresh Trading Manufacturing B.V.,073776947
Fresh Trading Supply B.V.,073114944
Fresh Unieke Mondzorg B.V.,067343775
FreshBooks Netherlands B.V.,076252965
Freshfields LLP,034368197
Freshstream Netherlands B.V.,083775285
Freshworks Technologies B.V.,073582166
Freudenberg Performance Materials B.V.,009008666
Friendly Business Centre B.V.,024288466
"Friends of The Earth International, International Secretariat",040535338
Friesian Farm B.V.,064361594
FrieslandCampina Nederland B.V.,001070163
Friss fraudebestrijding B.V.,030217641
Frisse Blikken ondernemen met talent B.V.,052694712
Frits van Dongen Architecten en Planners B.V.,072634154
FRMWRK B.V.,024304186
Froconsur B.V.,001076844
Frontclear Management B.V.,060351489
Frontier Finance Solutions B.V.,063401959
FrontValue B.V.,085985228
Fruit Freshi B.V.,085202673
Fruitone Europe,056993137
FS NL Hilton Rotterdam OpCo 19 B.V.,070615691
F-Secure B.V.,085817481
FST Technology B.V.,081557280
FTI Consulting (Netherlands) B.V.,067534090
ftrprf B.V.,071873112
Fudura B.V.,017138144
Fugro Innovation & Technology B.V.,034048179
Fugro Marine Services B.V.,028049309
Fugro N.V.,027120091
Fugro Netherlands Marine B.V.,027114149
Fugro NL Land B.V.,027114147
Fugro NL Services B.V.,009070547
Fugro Survey B.V.,034070322
Fuji Europe Africa B.V.,072062010
Fuji Logistics Europe B.V.,034089689
Fuji Seal B.V.,050450093
Fuji Seal Europe B.V.,017033461
Fuji Seal International the Netherlands Branch,060919418
Fuji Trading (Marine) B.V.,024123464
Fuji Transport Systems (Rotterdam) B.V.,068879377
FUJIFILM Europe B.V.,018084920
FUJIFILM Healthcare Nederland B.V.,029047105
FUJIFILM Manufacturing Europe B.V.,018025280
FUJIFILM SonoSite B.V.,034235932
Fujipoly Europe B.V.,091968224
FUJITRANS (EUROPE) B.V.,034142517
Fujitsu Components Europe B.V.,033281312
Fujitsu Technology Solutions B.V.,030089204
FUL Foods B.V.,077357558
Fulfilment Solutions B.V.,053521307
Full Circle Group Holding B.V.,082678499
Full Circle Wind Services Netherlands B.V.,081551673
Full Force Digital B.V.,075722275
Full4C,086677799
Fulpra Motors B.V.,077250877
FUMI Holding B.V.,075644274
Function Control Research B.V.,002044307
Functional Nutrition (EU) B.V.,082413053
Funda Real Estate B.V.,034242436
Fung Payments B.V.,085548413
FunXtion International B.V.,057141762
Fuqon B.V.,065980360
Furore Informatica B.V.,035026537
Furukawa Rock Drill Europe B.V.,030149889
FURUNO EUROPE B.V.,024392767
Fusion Engineering Technologies B.V.,070188289
Fusion Trade Netherlands B.V.,034270912
Fusite B.V.,006027114
Future Cleaning Technologies B.V.,017170863
Future Sailors B.V.,089035089
FutureWater,009129725
Futurewhiz B.V.,032144948
Fuze Europe B.V.,057702950
FXR B.V.,077326245
Fyffes,024079630
Fyndr B.V.,077878779
FysioHolland B.V.,030165675
Fysiotherapie De Rietlanden B.V.,001135925
Fysiotherapie Osdorp,053965019
Fysiotherapie Weerdsingel West,030275087
Fysiowereld,062806149
G. Vermes B.V.,039060888
G.B. Electronics Limited,071677224
G.C. de Jong Construction B.V.,022031684
G.J. van Olst B.V.,020074975
G3 Worldwide Mail,027190356
GA International Inc.,058125248
Gadeta B.V.,064786560
GAIN.PRO B.V.,071476717
Gaiyo B.V.,057152020
Galapagos B.V,028083700
Galaxy Specialties Europe B.V.,093499256
Galderma Benelux B.V.,034277838
Gamegos B.V.,073286974
GameHouse Europe B.V.,017146077
Gamepoint B.V.,027169445
Gamz B.V.,086092278
Gapstars B.V.,064817989
GarantiBank International N.V.,033225009
Gardner Denver Nederland B.V.,030088601
Garrett Leight Europe B.V.,063724332
Gartner Nederland B.V.,033237099
Garuda Indonesia,034357386
Gaserop B.V.,061383457
Gassan Diamonds B.V.,033082505
Gaston Schul Facilities B.V.,014107779
Gate Gourmet Amsterdam B.V.,034036439
Gate terminal,024385944
GATT Technologies B.V.,052767329
Gavdi B.V.,067035159
Gavita International B.V.,065832760
Gaynor Minden B.V.,057237077
Gazprom EP International Investments B.V.,034331840
Gazprom EP International Services B.V.,034285177
Gazprom Holding Coöperatie U.A.,058200010
Gazprom International Projects B.V.,034285181
GBE Converge B.V.,028079665
GBM Works B.V.,067657621
GCC Europe B.V.,024345456
GCE-Group B.V.,076040348
GCO Global,023061347
"GCP Europe Management S.à r.l., Dutch branch",076778827
GD-iTS Forwarding B.V.,011054730
GDS Services B.V.,053776402
GE Aviation Netherlands B.V.,033266425
GE Healthcare,017064140
GE Vernova Nederland B.V.,024191939
GEA Food Solutions B.V.,034206247
GEA Food Solutions Bakel B.V.,017044170
GEA Food Solutions Weert B.V.,013008971
GEA Niro PT B.V.,016023225
GEA Refrigeration Netherlands N.V.,016020595
GÉANT Vereniging,040535155
Gearbox Innovations B.V.,066873932
Gearbox Publishing Amsterdam B.V.,075256827
Gears of Leo Netherlands B.V.,009153589
Gebhard B.V.,071543813
Gebiedsmanagers B.V.,056905815
Gebr. van 't Hek B.V.,037109050
Gebr. Van Vliet B.V.,027235542
Gebroeders Bakker Zaadteelt en Zaadhandel B.V.,037008098
Gecko Robotics B.V.,084661496
Geckotech B.V.,053256662
Gecon Parcel B.V.,074494201
Gedi Cube B.V.,091275237
GeekSoft Consulting B.V.,058655581
Geerts Metaalwaren B.V.,069450064
GEG Europe B.V.,055185282
Gek van Software B.V.,073239585
Gelber Coöperatief U.A.,071324925
GELITA Nederland B.V.,034119841
Gemalto Holding B.V.,027255026
Gembird Europe B.V.,032131668
Gemco Cast Metal Technology B.V.,017141349
Gemeenlandshuis Delft,050677969
Gemeenschappelijke regeling DCMR Milieudienst Rijnmond,050000438
GEN B.V.,024317941
Gen25 B.V.,032086120
Genencor International B.V.,027238074
GeneoDx Holding B.V.,076311961
General Aircraft Technical Engineering Europe B.V.,017089756
General Logistics Systems B.V.,034125684
Generation Energy B.V.,065916158
Genesys Cloud Services B.V.,024293219
Genetwister Technologies B.V.,011043533
Genexis B.V.,012049085
Geniox Services B.V.,065600339
GenKey Solutions B.V.,017233846
Genmab B.V.,030169902
Genome Diagnostics B.V.,030202468
GenomeScan B.V.,061315532
Genpact NL B.V.,035010541
Genpact Onsite Services,024454081
Genscape,034186788
Genscript Biotech (Netherlands) B.V.,070249180
Genzai B.V.,069934592
Geo Marine Survey Systems B.V.,024465394
GEO2 Engineering B.V.,052849058
GeoCat B.V.,008162601
GEODIS FF Netherlands B.V.,024193709
GeoJunxion B.V.,024284810
Geolog North Sea B.V.,060896221
Geonius Geotechniek B.V.,014048726
GeoPhy B.V.,059182679
GeoQuest Systems B.V.,027176644
GeoSoftware C.V.,083859675
GEP Netherlands B.V.,073997633
Gepardo B.V.,086936107
GeriMedica,034270859
Geris B.V.,014101428
Gerlach & Co. Internationale Expediteurs B.V.,012030332
Gerwil Crewing B.V.,032143103
Get Components Group B.V.,067545947
